"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/09/2020","AQS","250250042","5","4","ug/m3 SC","4","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"05/15/2020","AQS","250250042","5","14","ug/m3 SC","13","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"05/21/2020","AQS","250250042","5","19","ug/m3 SC","18","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"05/27/2020","AQS","250250042","5","14","ug/m3 SC","13","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"06/08/2020","AQS","250250042","5","11","ug/m3 SC","10","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"06/14/2020","AQS","250250042","5","11","ug/m3 SC","10","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"06/20/2020","AQS","250250042","5","14","ug/m3 SC","13","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"06/26/2020","AQS","250250042","5","19","ug/m3 SC","18","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"07/02/2020","AQS","250250042","5","13","ug/m3 SC","12","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"07/26/2020","AQS","250250042","5","14","ug/m3 SC","13","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"08/01/2020","AQS","250250042","5","16","ug/m3 SC","15","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"08/07/2020","AQS","250250042","5","16","ug/m3 SC","15","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"08/13/2020","AQS","250250042","5","22","ug/m3 SC","20","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"08/19/2020","AQS","250250042","5","15","ug/m3 SC","14","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"08/25/2020","AQS","250250042","5","21","ug/m3 SC","19","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"08/31/2020","AQS","250250042","5","13","ug/m3 SC","12","DUDLEY SQUARE ROXBURY","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/01/2020","AQS","330150014","6","5","ug/m3 SC","5","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/02/2020","AQS","330150014","6","10","ug/m3 SC","9","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/03/2020","AQS","330150014","6","19","ug/m3 SC","18","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/04/2020","AQS","330150014","6","14","ug/m3 SC","13","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/05/2020","AQS","330150014","6","11","ug/m3 SC","10","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/06/2020","AQS","330150014","6","12","ug/m3 SC","11","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/07/2020","AQS","330150014","6","12","ug/m3 SC","11","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/08/2020","AQS","330150014","6","10","ug/m3 SC","9","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/09/2020","AQS","330150014","6","11","ug/m3 SC","10","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/10/2020","AQS","330150014","6","12","ug/m3 SC","11","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/11/2020","AQS","330150014","6","13","ug/m3 SC","12","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/12/2020","AQS","330150014","6","10","ug/m3 SC","9","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/13/2020","AQS","330150014","6","10","ug/m3 SC","9","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/14/2020","AQS","330150014","6","13","ug/m3 SC","12","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/15/2020","AQS","330150014","6","19","ug/m3 SC","18","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/16/2020","AQS","330150014","6","15","ug/m3 SC","14","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/17/2020","AQS","330150014","6","13","ug/m3 SC","12","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/18/2020","AQS","330150014","6","10","ug/m3 SC","9","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/19/2020","AQS","330150014","6","12","ug/m3 SC","11","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
"01/20/2020","AQS","330150014","6","13","ug/m3 SC","12","PORTSMOUTH - PEIRCE ISLAND","1","100.0000","81102","PM10 Total 0-10um STP","14460","Boston-Cambridge-Newton, MA-NH","33","New Hampshire","015","Rockingham","43.0753710009412","-70.748017"
